storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
247,すき家,菅原店,34.7416435610264,135.524790817332,533-0022,大阪府大阪市東淀川区菅原7-5-31,24時間営業,,
248,すき家,君津外箕輪店（旧君津店）,35.3188989747013,139.926124820913,299-1173,千葉県君津市外箕輪3-17-21,24時間営業,,
249,すき家,四条店,35.0034546926954,135.761527434353,600-8007,京都府京都市下京区四条通高倉西入ル立売西町67,24時間営業,,
252,すき家,水海道店,36.0232829955512,140.000930618211,303-0016,茨城県常総市新井木町字江畑102-3,10:00～23:00,,
253,すき家,武蔵中原店,35.5813417570056,139.641021969365,211-0053,神奈川県川崎市中原区上小田中4-2-1　Beans1F,24時間営業,,
254,すき家,甲南店,34.7220787584833,135.273166226532,658-0084,兵庫県神戸市東灘区甲南町3-8-16,24時間営業,,
255,すき家,花巻中央店,39.3964826246878,141.122761570739,025-0062,岩手県花巻市上小舟渡218-2,24時間営業,,
256,すき家,北白川店,35.0364319660706,135.791461485416,606-8252,京都府京都市左京区北白川上終町7,24時間営業,,
257,すき家,鴻巣店,36.0606939281427,139.520075774562,365-0036,埼玉県鴻巣市天神1-7-6,24時間営業,,
258,すき家,高槻西店,34.8402330514601,135.590441380942,569-1144,大阪府高槻市大畑町26-17,24時間営業,,
259,すき家,長野中央店,36.6426255985819,138.201600698881,380-0905,長野県長野市鶴賀(七瀬南部)320-1,24時間営業,,
260,すき家,池袋西店,35.7276514456083,139.708079385445,171-0021,東京都豊島区西池袋2-39-11,24時間営業,,
261,すき家,明幹加古川店,34.7452647889178,134.83802879666,675-0021,兵庫県加古川市尾上町安田305-1,24時間営業,,
262,すき家,松戸中央店,35.7930365897868,139.909982384588,271-0065,千葉県松戸市南花島2-32-9,24時間営業,,
263,すき家,原町店,37.6327566525043,140.985407247292,975-0038,福島県南相馬市原町区日の出町109-1-1,24時間営業,,
265,すき家,岡山野田店,34.6537093009323,133.899594559715,700-0971,岡山県岡山市北区野田3-17-1,24時間営業,,
268,すき家,新松戸店,35.824133630204,139.91506608603,270-0034,千葉県松戸市新松戸3-271　神谷第一ビル,24時間営業,,
269,すき家,嵐山店,36.0396373639574,139.317489957605,355-0227,埼玉県比企郡嵐山町大字千手堂37-2,月～金 9:00～23:00,土日祝 10:00～22:00,
271,すき家,海老名さがみ野店（旧海老名東店）,35.470485297781,139.435250274208,243-0401,神奈川県海老名市東柏ヶ谷6-21-20,24時間営業,,
272,すき家,安曇野IC店,36.3008280955164,137.921347212343,399-8201,長野県安曇野市豊科大字南穂高148-2,月～木・9:00～翌6:00,金～日・9:00～24:00,
273,すき家,下永谷店,35.4104489292457,139.561768642563,233-0016,神奈川県横浜市港南区下永谷5-1-15,24時間営業,,
274,すき家,早稲田南店,35.7058456901909,139.722137555344,162-0042,東京都新宿区早稲田町74　STビル1F,24時間営業,,
275,すき家,江戸堀店,34.6888778052296,135.492368995182,550-0002,大阪府大阪市西区江戸堀1-24-25　マッセ肥後橋ビル2号館,24時間営業,,
277,すき家,関目店,34.7082322300291,135.546149748642,536-0007,大阪府大阪市城東区成育2-13-15　アイビーマンション1F,24時間営業,,
279,すき家,浦安駅前店,35.664730839964,139.892416973665,279-0004,千葉県浦安市猫実4-18-26　浦安サンライズビル1F,24時間営業,,
